Player,country,Nation,Squad,Age,Weekly Wages,Annual Wages,Year,
Javier Hernández,mx, MEX,LA Galaxy,31,"$135,000 ","$7,020,000 ",2020,
Michael Bradley,us, USA,Toronto FC,32,"$115,385 ","$6,000,000 ",2020,
Jozy Altidore,us, USA,Toronto FC,30,"$94,063 ","$4,891,250 ",2020,
Carlos Vela,mx, MEX,LAFC,30,"$86,538 ","$4,500,000 ",2020,
Alejandro Pozuelo,es, ESP,Toronto FC,28,"$73,077 ","$3,800,000 ",2020,
Josef Martínez,ve, VEN,Atlanta United,26,"$58,808 ","$3,058,000 ",2020,
Sebastián Blanco,ar, ARG,Portland Timbers,31,"$54,885 ","$2,854,000 ",2020,
Nicolás Lodeiro,uy, URU,Seattle Sounders FC,30,"$48,115 ","$2,502,000 ",2020,
Diego Valeri,ar, ARG,Portland Timbers,33,"$46,538 ","$2,420,000 ",2020,
Rodolfo Pizarro,mx, MEX,Inter Miami,25,"$45,000 ","$2,340,000 ",2020,
Nani,pt, POR,Orlando City SC,33,"$44,872 ","$2,333,333 ",2020,
Carles Gil,es, ESP,New England Revolution,27,"$40,385 ","$2,100,000 ",2020,
Gustavo Bou,ar, ARG,New England Revolution,29,"$40,385 ","$2,100,000 ",2020,
Albert Rusnák,sk, SVK,Real Salt Lake,25,"$38,500 ","$2,002,000 ",2020,
Maximiliano Moralez,ar, ARG,New York City FC,32,"$38,462 ","$2,000,000 ",2020,
Jonathan dos Santos,mx, MEX,LA Galaxy,29,"$38,462 ","$2,000,000 ",2020,
Raúl Ruidíaz,pe, PER,Seattle Sounders FC,29,"$34,615 ","$1,800,000 ",2020,
Darwin Quintero,co, COL,Houston Dynamo,32,"$33,654 ","$1,750,000 ",2020,
Felipe Gutiérrez,cl, CHI,Sporting Kansas City,29,"$31,731 ","$1,650,000 ",2020,
Vako,ge, GEO,San Jose Earthquakes,27,"$28,365 ","$1,475,004 ",2020,
Johnny Russell,sct, SCO,Sporting Kansas City,29,"$27,885 ","$1,450,000 ",2020,
Ezequiel Barco,ar, ARG,Atlanta United,20,"$27,404 ","$1,425,000 ",2020,
Gyasi Zardes,us, USA,Columbus Crew,28,"$27,340 ","$1,421,667 ",2020,
Saphir Taïder,dz, ALG,Montreal Impact,27,"$26,923 ","$1,400,000 ",2020,
Fanendo Adi,ng, NGA,Columbus Crew,29,"$26,154 ","$1,360,008 ",2020,
Dom Dwyer,us, USA,Orlando City SC,29,"$25,385 ","$1,320,000 ",2020,
Aleksandar Katai,rs, SRB,LA Galaxy,28,"$24,231 ","$1,260,000 ",2020,
Bojan Krkić,es, ESP,Montreal Impact,29,"$23,709 ","$1,232,877 ",2020,
Alejandro Bedoya,us, USA,Philadelphia Union,32,"$23,077 ","$1,200,000 ",2020,
Ali Adnan Kadhim,iq, IRQ,Vancouver Whitecaps,26,"$23,077 ","$1,200,000 ",2020,
Cristian Pavón,ar, ARG,LA Galaxy,24,"$23,077 ","$1,200,000 ",2020,
Mauro Manotas,co, COL,Houston Dynamo,24,"$21,155 ","$1,100,050 ",2020,
Aljaž Struna,si, SVN,Houston Dynamo,29,"$21,154 ","$1,100,000 ",2020,
Andreu Fontàs,es, ESP,Sporting Kansas City,30,"$20,192 ","$1,050,000 ",2020,
Alan Pulido,mx, MEX,Sporting Kansas City,28,"$20,000 ","$1,040,000 ",2020,
Brian Rodríguez,uy, URU,LAFC,19,"$20,000 ","$1,040,000 ",2020,
Lucas Cavallini,ca, CAN,Vancouver Whitecaps,27,"$20,000 ","$1,040,000 ",2020,
Jürgen Locadia,nl, NED,FC Cincinnati,26,"$19,769 ","$1,028,000 ",2020,
Sacha Kljestan,us, USA,LA Galaxy,34,"$19,712 ","$1,025,000 ",2020,
David Accam,gh, GHA,Nashville SC,29,"$19,423 ","$1,010,004 ",2020,
Diego Rossi,uy, URU,LAFC,21,"$19,231 ","$1,000,000 ",2020,
Everton Luiz,br, BRA,Real Salt Lake,31,"$19,231 ","$1,000,000 ",2020,
Robert Berić,si, SVN,Chicago Fire,28,"$19,115 ","$994,000 ",2020,
Damir Kreilach,hr, CRO,Real Salt Lake,30,"$18,630 ","$968,769 ",2020,
Mauricio Pereyra,uy, URU,Orlando City SC,29,"$18,462 ","$960,000 ",2020,
Gonzalo Martínez,,,Atlanta United,26,"$17,308 ","$900,000 ",2020,
Ilie Sánchez,es, ESP,Sporting Kansas City,29,"$17,308 ","$900,000 ",2020,
Maximiliano Urruti,ar, ARG,Montreal Impact,28,"$17,308 ","$900,000 ",2020,
Michael Mancienne,sc,sc SEY,New England Revolution,32,"$16,955 ","$881,676 ",2020,
Jesús Medina,py, PAR,New York City FC,22,"$16,750 ","$871,000 ",2020,
Alexander Ring,fi, FIN,New York City FC,28,"$16,346 ","$850,000 ",2020,
Adama Diomande,no, NOR,LAFC,29,"$16,346 ","$850,000 ",2020,
Robin Lod,fi, FIN,Minnesota United,26,"$16,346 ","$849,996 ",2020,
Reto Ziegler,ch, SUI,FC Dallas,34,"$15,769 ","$820,000 ",2020,
Pedro Santos,pt, POR,Columbus Crew,31,"$15,722 ","$817,560 ",2020,
Jonathan Mensah,gh, GHA,Columbus Crew,29,"$15,385 ","$800,004 ",2020,
Roger Espinoza,hn, HON,Sporting Kansas City,33,"$15,385 ","$800,000 ",2020,
Alejandro Romero Gamarra,py, PAR,New York Red Bulls,25,"$15,385 ","$800,000 ",2020,
Chris Wondolowski,us, USA,San Jose Earthquakes,37,"$15,385 ","$800,000 ",2020,
Héber,br, BRA,New York City FC,28,"$15,173 ","$789,000 ",2020,
Edison Flores,pe, PER,DC United,25,"$15,000 ","$780,000 ",2020,
Lucas Zelarayán,am, ARM,Columbus Crew,27,"$15,000 ","$780,000 ",2020,
Matías Pellegrini,ar, ARG,Inter Miami,19,"$15,000 ","$780,000 ",2020,
Jarosław Niezgoda,pl, POL,Portland Timbers,24,"$15,000 ","$780,000 ",2020,
Yimmi Chará,co, COL,Portland Timbers,28,"$15,000 ","$780,000 ",2020,
Yuya Kubo,jp, JPN,FC Cincinnati,26,"$15,000 ","$780,000 ",2020,
Aaron Long,us, USA,New York Red Bulls,27,"$14,808 ","$770,000 ",2020,
Fredy Montero,co, COL,Vancouver Whitecaps,32,"$14,769 ","$768,000 ",2020,
Jonathan Osorio,ca, CAN,Toronto FC,27,"$14,423 ","$750,000 ",2020,
Kei Kamara,sl, SLE,Colorado Rapids,35,"$14,423 ","$750,000 ",2020,
Ján Greguš,sk, SVK,Minnesota United,29,"$14,423 ","$750,000 ",2020,
Larrys Mabiala,cd, COD,Portland Timbers,32,"$14,423 ","$750,000 ",2020,
Kendall Waston,cr, CRC,FC Cincinnati,32,"$14,423 ","$750,000 ",2020,
Román Torres,pa, PAN,Inter Miami,33,"$14,231 ","$740,000 ",2020,
Tim Parker,us, USA,New York Red Bulls,26,"$14,196 ","$738,200 ",2020,
Andrés Ríos,ar, ARG,San Jose Earthquakes,30,"$14,019 ","$729,000 ",2020,
Marcelo Silva,uy, URU,Real Salt Lake,30,"$13,942 ","$725,004 ",2020,
Giancarlo González,cr, CRC,LA Galaxy,31,"$13,865 ","$721,000 ",2020,
Dax McCarty,us, USA,Nashville SC,32,"$13,462 ","$700,000 ",2020,
Daniel Royer,at, AUT,New York Red Bulls,29,"$13,462 ","$700,000 ",2020,
Rudy Camacho,fr, FRA,Montreal Impact,28,"$13,462 ","$700,000 ",2020,
Josh Sims,eng, ENG,New York Red Bulls,22,"$13,384 ","$695,968 ",2020,
Brad Guzan,us, USA,Atlanta United,35,"$13,077 ","$680,004 ",2020,
Paul Arriola,us, USA,DC United,24,"$12,981 ","$675,000 ",2020,
Darlington Nagbe,us, USA,Columbus Crew,29,"$12,798 ","$665,500 ",2020,
Carlos Fierro,mx, MEX,San Jose Earthquakes,25,"$12,692 ","$660,000 ",2020,
Hwang In-beom,kr,kr KOR,Vancouver Whitecaps,23,"$12,596 ","$655,000 ",2020,
Alberth Elis,hn, HON,Houston Dynamo,23,"$12,507 ","$650,340 ",2020,
Maxime Chanot,lu,lu LUX,New York City FC,30,"$12,500 ","$650,000 ",2020,
Osvaldo Alonso,cu, CUB,Minnesota United,34,"$12,500 ","$650,000 ",2020,
Yordy Reyna,pe, PER,Vancouver Whitecaps,26,"$12,500 ","$650,000 ",2020,
Sam Johnson,lr,lr LBR,Real Salt Lake,26,"$12,500 ","$650,000 ",2020,
Graham Zusi,us, USA,Sporting Kansas City,33,"$12,019 ","$625,000 ",2020,
Adam Buksa,pl, POL,New England Revolution,23,"$12,000 ","$624,000 ",2020,
Yamil Asad,ar, ARG,DC United,25,"$12,000 ","$624,000 ",2020,
João Paulo Mior,br, BRA,Seattle Sounders FC,28,"$11,942 ","$621,000 ",2020,
Omar Gonzalez,us, USA,Toronto FC,31,"$11,923 ","$620,000 ",2020,
Jamiro Monteiro,cv,cv CPV,Philadelphia Union,26,"$11,885 ","$618,000 ",2020,
Christian Ramirez,us, USA,Houston Dynamo,28,"$11,538 ","$600,000 ",2020,
Chris Mavinga,cd, COD,Toronto FC,28,"$11,538 ","$600,000 ",2020,
Bryan Acosta,hn, HON,FC Dallas,26,"$11,538 ","$600,000 ",2020,
Walker Zimmerman,us, USA,Nashville SC,26,"$11,538 ","$600,000 ",2020,
Nicolas Benezet,fr, FRA,Colorado Rapids,28,"$11,538 ","$600,000 ",2020,
Sergio Santos Gomes,br, BRA,Philadelphia Union,25,"$11,538 ","$600,000 ",2020,
Alexander Callens,pe, PER,New York City FC,27,"$11,538 ","$600,000 ",2020,
Jorge Villafaña,us, USA,Portland Timbers,30,"$11,538 ","$600,000 ",2020,
Francisco Calvo,cr, CRC,Chicago Fire,27,"$11,538 ","$600,000 ",2020,
Cristian Roldan,us, USA,Seattle Sounders FC,24,"$11,462 ","$596,000 ",2020,
Guram Kashia,ge, GEO,San Jose Earthquakes,32,"$11,346 ","$590,000 ",2020,
Wilfried Zahibo,cf,cf CTA,New England Revolution,26,"$11,212 ","$583,000 ",2020,
Juan Agudelo,us, USA,Inter Miami,27,"$11,058 ","$575,000 ",2020,
Matt Besler,us, USA,Sporting Kansas City,32,"$11,058 ","$574,998 ",2020,
Diego Chará,co, COL,Portland Timbers,33,"$11,000 ","$572,000 ",2020,
Gustav Svensson,se, SWE,Seattle Sounders FC,32,"$10,962 ","$570,000 ",2020,
Matt Hedges,us, USA,FC Dallas,29,"$10,577 ","$550,008 ",2020,
Florian Jungwirth,de, GER,San Jose Earthquakes,31,"$10,577 ","$550,008 ",2020,
Haris Medunjanin,ba, BIH,FC Cincinnati,34,"$10,577 ","$550,008 ",2020,
Kellyn Acosta,us, USA,Colorado Rapids,24,"$10,577 ","$550,000 ",2020,
Steve Birnbaum,us, USA,DC United,29,"$10,577 ","$550,000 ",2020,
Gerso,,,Sporting Kansas City,28,"$10,577 ","$550,000 ",2020,
Kelvin Leerdam,sr,sr SUR,Seattle Sounders FC,29,"$10,577 ","$550,000 ",2020,
Joe Corona,us, USA,LA Galaxy,29,"$10,577 ","$550,000 ",2020,
Maikel van der Werff,nl, NED,FC Cincinnati,30,"$10,577 ","$550,000 ",2020,
Johan Kappelhof,nl, NED,Chicago Fire,29,"$10,577 ","$550,000 ",2020,
Wil Trapp,us, USA,Inter Miami,27,"$10,577 ","$549,996 ",2020,
Jorge Moreira,py, PAR,Portland Timbers,29,"$10,490 ","$545,455 ",2020,
Ignacio Piatti,ar, ARG,Montreal Impact,35,"$10,192 ","$530,000 ",2020,
Lee Nguyen,us, USA,Inter Miami,33,"$10,096 ","$525,000 ",2020,
Oriol Rosell,es, ESP,Orlando City SC,27,"$10,048 ","$522,500 ",2020,
Hany Mukhtar,de, GER,Nashville SC,24,"$10,000 ","$520,000 ",2020,
Yeimar Gómez Andrade,co, COL,Seattle Sounders FC,27,"$10,000 ","$520,000 ",2020,
Julián Carranza,ar, ARG,Inter Miami,19,"$10,000 ","$520,000 ",2020,
Darren Mattocks,jm, JAM,FC Cincinnati,29,"$10,000 ","$520,000 ",2020,
Antonio Carlos,br, BRA,Orlando City SC,26,"$9,981 ","$519,000 ",2020,
Andrew Wooten,us, USA,Philadelphia Union,30,"$9,808 ","$510,000 ",2020,
Romell Quioto,hn, HON,Montreal Impact,28,"$9,744 ","$506,668 ",2020,
Andre Blake,jm, JAM,Philadelphia Union,29,"$9,615 ","$500,004 ",2020,
Kevin Molino,tt, TRI,Minnesota United,29,"$9,615 ","$500,004 ",2020,
Michael Barrios,co, COL,FC Dallas,28,"$9,615 ","$500,000 ",2020,
Harold Santiago Mosquera,co, COL,FC Dallas,24,"$9,615 ","$500,000 ",2020,
Cristian Penilla,ec, ECU,New England Revolution,28,"$9,615 ","$500,000 ",2020,
Danny Wilson,sct, SCO,Colorado Rapids,28,"$9,615 ","$500,000 ",2020,
Felipe,br, BRA,DC United,29,"$9,615 ","$500,000 ",2020,
Alexandru Mitriță,ro,ro ROU,New York City FC,24,"$9,615 ","$500,000 ",2020,
Cristian Espinoza,ar, ARG,San Jose Earthquakes,24,"$9,615 ","$500,000 ",2020,
Danny Hoesen,nl, NED,San Jose Earthquakes,29,"$9,615 ","$500,000 ",2020,
Jordan Morris,us, USA,Seattle Sounders FC,25,"$9,606 ","$499,500 ",2020,
Aníbal Godoy,pa, PAN,Nashville SC,29,"$9,577 ","$498,000 ",2020,
Anton Tinnerholm,se, SWE,New York City FC,28,"$9,554 ","$496,800 ",2020,
Luis Robles,us, USA,Inter Miami,35,"$9,423 ","$490,000 ",2020,
Sebastián Méndez,,,Orlando City SC,22,"$9,365 ","$487,000 ",2020,
Bressan,br, BRA,FC Dallas,27,"$9,333 ","$485,300 ",2020,
Joevin Jones,tt, TRI,Seattle Sounders FC,28,"$9,269 ","$482,004 ",2020,
Jefferson Savarino,ve, VEN,Real Salt Lake,23,"$9,135 ","$475,008 ",2020,
Eduard Atuesta,co, COL,LAFC,22,"$9,135 ","$475,000 ",2020,
C.J. Sapong,us, USA,Chicago Fire,31,"$9,135 ","$475,000 ",2020,
David Jensen,dk, DEN,New York Red Bulls,27,"$9,000 ","$468,000 ",2020,
Bill Hamid,us, USA,DC United,29,"$8,881 ","$461,820 ",2020,
Kenneth Vermeer,nl, NED,LAFC,34,"$8,865 ","$461,000 ",2020,
Youness Mokhtar,ma, MAR,Columbus Crew,28,"$8,846 ","$459,996 ",2020,
Magnus Eriksson,se, SWE,San Jose Earthquakes,29,"$8,654 ","$450,000 ",2020,
Perry Kitchen,us, USA,LA Galaxy,27,"$8,654 ","$450,000 ",2020,
Nedum Onuoha,eng, ENG,Real Salt Lake,33,"$8,654 ","$450,000 ",2020,
Przesław Frankowski,pl, POL,Chicago Fire,24,"$8,654 ","$450,000 ",2020,
Erik Godoy,ar, ARG,Vancouver Whitecaps,26,"$8,635 ","$449,000 ",2020,
Jack Price,eng, ENG,Colorado Rapids,27,"$8,269 ","$430,000 ",2020,
Jakob Glesnes,no, NOR,Philadelphia Union,25,"$8,077 ","$420,000 ",2020,
José Cifuentes,ec, ECU,LAFC,20,"$8,077 ","$420,000 ",2020,
Justin Meram,iq, IRQ,Real Salt Lake,31,"$8,077 ","$420,000 ",2020,
Matheus Rossetto,br, BRA,Atlanta United,23,"$8,000 ","$416,000 ",2020,
Júnior Urso,br, BRA,Orlando City SC,30,"$8,000 ","$416,000 ",2020,
Pedro Gallese,,,Orlando City SC,29,"$8,000 ","$416,000 ",2020,
Roberto Punčec,hr, CRO,Sporting Kansas City,28,"$8,000 ","$416,000 ",2020,
Vito Wormgoor,nl, NED,Columbus Crew,31,"$8,000 ","$416,000 ",2020,
Francisco Ginella,uy, URU,LAFC,21,"$8,000 ","$416,000 ",2020,
Cristián Dajome,co, COL,Vancouver Whitecaps,26,"$8,000 ","$416,000 ",2020,
Jorge Figal,ar, ARG,Inter Miami,25,"$8,000 ","$416,000 ",2020,
Lewis Morgan,sct, SCO,Inter Miami,23,"$8,000 ","$416,000 ",2020,
Dario Župarić,ba, BIH,Portland Timbers,27,"$8,000 ","$416,000 ",2020,
Emiliano Insúa,ar, ARG,LA Galaxy,31,"$8,000 ","$416,000 ",2020,
Romain Métanire,mg, MAD,Minnesota United,29,"$7,923 ","$412,000 ",2020,
Tomás Conechny,ar, ARG,Portland Timbers,21,"$7,769 ","$404,000 ",2020,
Ethan Finlay,us, USA,Minnesota United,29,"$7,692 ","$400,008 ",2020,
Laurent Ciman,be, BEL,Toronto FC,34,"$7,692 ","$400,000 ",2020,
Zdeněk Ondrášek,cz, CZE,FC Dallas,31,"$7,692 ","$400,000 ",2020,
Sean Johnson,us, USA,New York City FC,30,"$7,692 ","$400,000 ",2020,
Xavier Arreaga,ec, ECU,Seattle Sounders FC,25,"$7,569 ","$393,600 ",2020,
Marcos López,pe, PER,San Jose Earthquakes,20,"$7,462 ","$388,000 ",2020,
Tomás Martínez,ar, ARG,Houston Dynamo,24,"$7,442 ","$387,000 ",2020,
Álvaro Medrán,es, ESP,Chicago Fire,25,"$7,250 ","$377,000 ",2020,
Drew Moor,us, USA,Colorado Rapids,36,"$7,212 ","$375,000 ",2020,
David Bingham,us, USA,LA Galaxy,30,"$7,212 ","$375,000 ",2020,
Kekuta Manneh,us, USA,FC Cincinnati,25,"$7,212 ","$375,000 ",2020,
Thiago dos Santos,br, BRA,FC Dallas,30,"$7,000 ","$364,000 ",2020,
Christian Makoun,ve, VEN,Inter Miami,19,"$7,000 ","$364,000 ",2020,
Emerson Hyndman,,,Atlanta United,23,"$6,923 ","$360,000 ",2020,
Artur,br, BRA,Columbus Crew,23,"$6,923 ","$360,000 ",2020,
Diego Rubio,cl, CHI,Colorado Rapids,26,"$6,808 ","$354,000 ",2020,
Alex Bono,us, USA,Toronto FC,25,"$6,731 ","$350,000 ",2020,
Will Bruin,us, USA,Seattle Sounders FC,30,"$6,731 ","$350,000 ",2020,
Ismael Tajouri-Shradi,ly, LBY,New York City FC,25,"$6,731 ","$350,000 ",2020,
Ike Opara,us, USA,Minnesota United,30,"$6,731 ","$350,000 ",2020,
Darwin Cerén,sv, SLV,Houston Dynamo,30,"$6,712 ","$349,000 ",2020,
Justen Glad,us, USA,Real Salt Lake,22,"$6,635 ","$345,000 ",2020,
Marko Marić,hr, CRO,Houston Dynamo,24,"$6,500 ","$338,000 ",2020,
Randall Leal,cr, CRC,Nashville SC,23,"$6,500 ","$338,000 ",2020,
Matej Oravec,sk, SVK,Philadelphia Union ,21,"$6,500 ","$338,000 ",2020,
Caleb Stanko,us, USA,FC Cincinnati,26,"$6,490 ","$337,500 ",2020,
Thomás Chacón,uy, URU,Minnesota United,19,"$6,481 ","$337,000 ",2020,
Luis Díaz,cr, CRC,Columbus Crew,21,"$6,423 ","$334,000 ",2020,
Justin Morrow,us, USA,Toronto FC,32,"$6,346 ","$330,000 ",2020,
Ilsinho,br, BRA,Philadelphia Union,34,"$6,346 ","$330,000 ",2020,
Tim Melia,us, USA,Sporting Kansas City,33,"$6,250 ","$325,008 ",2020,
Stefan Frei,ch, SUI,Seattle Sounders FC,33,"$6,250 ","$325,000 ",2020,
Diego Palacios,ec, ECU,LAFC,20,"$6,231 ","$324,000 ",2020,
Leonard Owusu,gh, GHA,Vancouver Whitecaps,22,"$6,154 ","$320,000 ",2020,
Kai Wagner,de, GER,Philadelphia Union,22,"$6,115 ","$318,000 ",2020,
Alexander Büttner,nl, NED,New England Revolution,30,"$6,000 ","$312,000 ",2020,
Antonio Delamea Mlinar,si, SVN,New England Revolution,28,"$6,000 ","$312,000 ",2020,
Manuel Milinković,rs, SRB,Vancouver Whitecaps,25,"$5,962 ","$310,000 ",2020,
Adrien Regattin,ma, MAR,FC Cincinnati,28,"$5,962 ","$310,000 ",2020,
Tom Pettersson,se, SWE,FC Cincinnati,29,"$5,962 ","$310,000 ",2020,
Gadi Kinda,,,Sporting Kansas City,25,"$5,942 ","$309,000 ",2020,
Mathias Jørgensen,dk, DEN,New York Red Bulls,19,"$5,885 ","$306,000 ",2020,
Adam Lundqvist,se, SWE,Houston Dynamo,25,"$5,846 ","$304,000 ",2020,
Lassi Lappalainen,fi, FIN,Montreal Impact,21,"$5,819 ","$302,574 ",2020,
Víctor Cabrera,ar, ARG,Houston Dynamo,26,"$5,769 ","$300,000 ",2020,
Eric Remedi,ar, ARG,Atlanta United,24,"$5,769 ","$300,000 ",2020,
Franco Escobar,ar, ARG,Atlanta United,24,"$5,769 ","$300,000 ",2020,
Luís Caicedo,co, COL,New England Revolution,23,"$5,769 ","$300,000 ",2020,
Sam Nicholson,sct, SCO,Colorado Rapids,25,"$5,769 ","$300,000 ",2020,
Frédéric Brillant,fr, FRA,DC United,34,"$5,769 ","$300,000 ",2020,
Eloy Room,cw, CUW,Columbus Crew,30,"$5,769 ","$300,000 ",2020,
Rónald Matarrita,cr, CRC,New York City FC,25,"$5,769 ","$300,000 ",2020,
Marc Rzatkowski,de, GER,New York Red Bulls,29,"$5,769 ","$300,000 ",2020,
Sean Davis,us, USA,New York Red Bulls,26,"$5,769 ","$300,000 ",2020,
Michael Boxall,nz, NZL,Minnesota United,31,"$5,769 ","$300,000 ",2020,
Judson,br, BRA,San Jose Earthquakes,26,"$5,769 ","$300,000 ",2020,
Sebastian Lletget,us, USA,LA Galaxy,27,"$5,769 ","$300,000 ",2020,
Allan Cruz,cr, CRC,FC Cincinnati,23,"$5,769 ","$300,000 ",2020,
Kyle Beckerman,us, USA,Real Salt Lake,37,"$5,769 ","$300,000 ",2020,
Rod Fanni,fr, FRA,Montreal Impact,38,"$5,755 ","$299,250 ",2020,
José Bizama,cl, CHI,Houston Dynamo,25,"$5,577 ","$290,000 ",2020,
Milton Valenzuela,ar, ARG,Columbus Crew,21,"$5,577 ","$290,000 ",2020,
Harrison Afful,gh, GHA,Columbus Crew,33,"$5,540 ","$288,100 ",2020,
Auro,br, BRA,Toronto FC,24,"$5,327 ","$277,000 ",2020,
Erickson Gallardo,ve, VEN,Toronto FC,26,"$5,289 ","$275,004 ",2020,
Eriq Zavaleta,sv, SLV,Toronto FC,27,"$5,289 ","$275,004 ",2020,
Valentín Castellanos,ar, ARG,New York City FC,21,"$5,288 ","$275,000 ",2020,
Greg Garza,us, USA,FC Cincinnati,28,"$5,192 ","$270,000 ",2020,
Kelyn Rowe,us, USA,New England Revolution,28,"$5,027 ","$261,400 ",2020,
Robin Jansson,se, SWE,Orlando City SC,28,"$5,019 ","$261,000 ",2020,
Patrick Mullins,us, USA,Toronto FC,27,"$5,000 ","$260,004 ",2020,
Fernando Meza,ar, ARG,Atlanta United,29,"$5,000 ","$260,000 ",2020,
José Andrés Martínez,ve, VEN,Philadelphia Union,25,"$5,000 ","$260,000 ",2020,
Gary Mackay-Steven,sct, SCO,New York City FC,29,"$5,000 ","$260,000 ",2020,
A.J. DeLaGarza,gu, GUM,Inter Miami,32,"$4,885 ","$254,000 ",2020,
Marky Delgado,us, USA,Toronto FC,24,"$4,865 ","$253,000 ",2020,
Ronaldo Peña,ve, VEN,Houston Dynamo,22,"$4,808 ","$250,000 ",2020,
Edgar Castillo,us, USA,Atlanta United,33,"$4,808 ","$250,000 ",2020,
Jack Elliott,,,Philadelphia Union,24,"$4,808 ","$250,000 ",2020,
Botond Baráth,hu, HUN,Sporting Kansas City,27,"$4,808 ","$250,000 ",2020,
Shea Salinas,us, USA,San Jose Earthquakes,33,"$4,808 ","$250,000 ",2020,
Jukka Raitala,fi, FIN,Montreal Impact,31,"$4,808 ","$250,000 ",2020,
Russell Canouse,us, USA,DC United,24,"$4,760 ","$247,500 ",2020,
Ola Kamara,no, NOR,DC United,30,"$4,615 ","$240,000 ",2020,
Kacper Przybyłko,pl, POL,Philadelphia Union,26,"$4,615 ","$240,000 ",2020,
Luís Martins,pt, POR,Sporting Kansas City,27,"$4,615 ","$240,000 ",2020,
Mathieu Deplagne,fr, FRA,FC Cincinnati,28,"$4,615 ","$240,000 ",2020,
Jonathan Bornstein,us, USA,Chicago Fire,35,"$4,615 ","$240,000 ",2020,
Harry Shipp,us, USA,Seattle Sounders FC,28,"$4,519 ","$235,000 ",2020,
Alvas Powell,jm, JAM,Inter Miami,25,"$4,519 ","$235,000 ",2020,
Daryl Dike,us, USA,Orlando City SC,19,"$4,500 ","$234,000 ",2020,
Evan Bush,us, USA,Montreal Impact,33,"$4,462 ","$232,000 ",2020,
Przesław Tytoń,pl, POL,FC Cincinnati,33,"$4,457 ","$231,750 ",2020,
Matías Vera,ar, ARG,Houston Dynamo,24,"$4,442 ","$231,000 ",2020,
Jesse Gonzalez,mx, MEX,FC Dallas,24,"$4,442 ","$231,000 ",2020,
Brooks Lennon,us, USA,Atlanta United,22,"$4,423 ","$230,004 ",2020,
Teal Bunbury,us, USA,New England Revolution,29,"$4,341 ","$225,750 ",2020,
Luis Amarilla,py, PAR,Minnesota United,24,"$4,327 ","$225,000 ",2020,
Rolf Feltscher,ve, VEN,LA Galaxy,29,"$4,192 ","$218,000 ",2020,
Josh Williams,us, USA,Columbus Crew,31,"$4,135 ","$215,000 ",2020,
Victor Ulloa,us, USA,Inter Miami,27,"$4,077 ","$212,000 ",2020,
Jeff Larentowicz,us, USA,Atlanta United,36,"$4,038 ","$210,000 ",2020,
Andrew Farrell,us, USA,New England Revolution,27,"$4,024 ","$209,230 ",2020,
Brayan Beckeles,hn, HON,Nashville SC,34,"$4,000 ","$208,000 ",2020,
Khiry Shelton,us, USA,Sporting Kansas City,26,"$4,000 ","$208,000 ",2020,
Robbie Robinson,us, USA,Inter Miami,21,"$4,000 ","$208,000 ",2020,
Diego Fagúndez,uy, URU,New England Revolution,24,"$3,942 ","$205,000 ",2020,
João Moutinho,pt, POR,Orlando City SC,22,"$3,904 ","$203,000 ",2020,
Pablo Ruíz,ar, ARG,Real Salt Lake,21,"$3,846 ","$200,004 ",2020,
Dominique Badji,sn, SEN,Nashville SC,27,"$3,846 ","$200,000 ",2020,
Hector Jiménez,us, USA,Columbus Crew,31,"$3,846 ","$200,000 ",2020,
Danilo da Silva,br, BRA,LAFC,33,"$3,846 ","$200,000 ",2020,
Eddie Segura,co, COL,LAFC,22,"$3,846 ","$200,000 ",2020,
Mohamed El Munir,ly, LBY,LAFC,27,"$3,846 ","$200,000 ",2020,
Andrew Tarbell,us, USA,San Jose Earthquakes,26,"$3,846 ","$200,000 ",2020,
Mario Daniel Vega,ar, ARG,San Jose Earthquakes,35,"$3,846 ","$200,000 ",2020,
Nick Lima,us, USA,San Jose Earthquakes,25,"$3,846 ","$200,000 ",2020,
Ben Sweat,us, USA,Inter Miami,28,"$3,846 ","$200,000 ",2020,
Dairon Asprilla,co, COL,Portland Timbers,27,"$3,846 ","$200,000 ",2020,
Orji Okwonkwo,ng, NGA,Montreal Impact,22,"$3,846 ","$200,000 ",2020,
Robinho,br, BRA,Orlando City SC,25,"$3,808 ","$198,000 ",2020,
Andy Rose,au, AUS,Vancouver Whitecaps,29,"$3,702 ","$192,500 ",2020,
Ray Gaddis,us, USA,Philadelphia Union ,30,"$3,654 ","$190,000 ",2020,
Fatai Alashe,us, USA,FC Cincinnati,26,"$3,654 ","$190,000 ",2020,
Zac MacMath,us, USA,Real Salt Lake,28,"$3,654 ","$190,000 ",2020,
Emmanuel Boateng,gh, GHA,DC United,26,"$3,558 ","$185,000 ",2020,
Boniek García,hn, HON,Houston Dynamo,35,"$3,519 ","$183,000 ",2020,
Jack Maher,us, USA,Nashville SC,20,"$3,500 ","$182,000 ",2020,
Axel Sjöberg,se, SWE,Columbus Crew,28,"$3,462 ","$180,000 ",2020,
Jasser Khmiri,tn, TUN,Vancouver Whitecaps,22,"$3,462 ","$180,000 ",2020,
Ryan Hollingshead,us, USA,FC Dallas,28,"$3,365 ","$175,000 ",2020,
Aurélien Collin,fr, FRA,Philadelphia Union,33,"$3,365 ","$175,000 ",2020,
