Player,country,Nation,Squad,Age,Weekly Wages,Annual Wages,Year,
Aurélien Collin,fr,FRA,Philadelphia Union,32,"$3,365 ","$175,000 ",2019,
Erik Hurtado,us,USA,Sporting Kansas City,28,"$3,365 ","$175,000 ",2019,
Bobby Shuttleworth,us,USA,Minnesota United,31,"$3,365 ","$175,000 ",2019,
Tommy Thompson,us,USA,San Jose Earthquakes,23,"$3,365 ","$175,000 ",2019,
Jeff Attinella,us,USA,Portland Timbers,30,"$3,365 ","$175,000 ",2019,
Jeremy Ebobisse,us,USA,Portland Timbers,21,"$3,365 ","$175,000 ",2019,
Axel Sjöberg,se,SWE,Colorado Rapids,27,"$3,365 ","$174,996 ",2019,
Julio Cascante,cr,CRC,Portland Timbers,25,"$3,269 ","$170,004 ",2019,
Ulises Segura,cr,CRC,DC United,25,"$3,269 ","$170,000 ",2019,
Russell Teibert,ca,CAN,Vancouver Whitecaps,26,"$3,269 ","$170,000 ",2019,
Boniek García,hn,HON,Houston Dynamo,34,"$3,231 ","$168,000 ",2019,
Nicolas Hasler,li,LIE,Sporting Kansas City,27,"$3,231 ","$168,000 ",2019,
Mark-Anthony Kaye,ca,CAN,LAFC,24,"$3,197 ","$166,248 ",2019,
Joe Willis,us,USA,Houston Dynamo,30,"$3,173 ","$165,000 ",2019,
Thomas McNamara,us,USA,Houston Dynamo,27,"$3,173 ","$165,000 ",2019,
Chris Seitz,us,USA,DC United,31,"$3,173 ","$165,000 ",2019,
Jordan Harvey,us,USA,LAFC,35,"$3,173 ","$165,000 ",2019,
Rodolfo Zelaya,sv,SLV,LAFC,30,"$3,125 ","$162,500 ",2019,
Warren Creavalle,us,USA,Philadelphia Union,28,"$3,115 ","$162,000 ",2019,
Tyler Deric,us,USA,Houston Dynamo,30,"$3,077 ","$160,000 ",2019,
Brandon Servania,us,USA,FC Dallas,19,"$3,077 ","$160,000 ",2019,
Fafà Picault,us,USA,Philadelphia Union,27,"$3,077 ","$160,000 ",2019,
Ruan,br,BRA,Orlando City SC,23,"$3,077 ","$160,000 ",2019,
Ricardo Clark,us,USA,Columbus Crew,35,"$3,077 ","$160,000 ",2019,
Waylon Francis,cr,CRC,Columbus Crew,28,"$3,077 ","$160,000 ",2019,
Zarek Valentin,pr,PUR,Portland Timbers,27,"$3,077 ","$160,000 ",2019,
Anthony Jackson-Hamel,ca,CAN,Montreal Impact,25,"$3,077 ","$160,000 ",2019,
Nick DeLeon,us,USA,Toronto FC,28,"$3,068 ","$159,528 ",2019,
Marlon Hairston,us,USA,Houston Dynamo,24,"$2,981 ","$155,004 ",2019,
Jimmy Medranda,co,COL,Sporting Kansas City,24,"$2,981 ","$155,004 ",2019,
Scott Sutter,ch,SUI,Vancouver Whitecaps,32,"$2,981 ","$155,000 ",2019,
Luke Mulholland,eng,ENG,Real Salt Lake,30,"$2,981 ","$155,000 ",2019,
Keegan Rosenberry,us,USA,Colorado Rapids,25,"$2,908 ","$151,195 ",2019,
Ema Twumasi,gh,GHA,FC Dallas,21,"$2,885 ","$150,000 ",2019,
Brandon Vazquez,us,USA,Atlanta United,20,"$2,885 ","$150,000 ",2019,
Joseph Mora,cr,CRC,DC United,26,"$2,885 ","$150,000 ",2019,
Tesho Akindele,ca,CAN,Orlando City SC,26,"$2,885 ","$150,000 ",2019,
Keaton Parks,us,USA,New York City FC,21,"$2,885 ","$150,000 ",2019,
Amro Tarek,eg,EGY,New York Red Bulls,26,"$2,885 ","$150,000 ",2019,
Dejan Jakovic,ca,CAN,LAFC,33,"$2,885 ","$150,000 ",2019,
Aljaž Ivačič,si,SVN,Portland Timbers,25,"$2,885 ","$150,000 ",2019,
Andy Polo,pe,PER,Portland Timbers,24,"$2,885 ","$150,000 ",2019,
Daniel Steres,us,USA,LA Galaxy,28,"$2,885 ","$150,000 ",2019,
Vitor Junior,br,BRA,LA Galaxy,30,"$2,885 ","$150,000 ",2019,
Richard Sánchez,mx,MEX,Chicago Fire,24,"$2,885 ","$150,000 ",2019,
Víctor Cabrera,ar,ARG,Montreal Impact,25,"$2,885 ","$150,000 ",2019,
Joe Gyau,us,USA,FC Cincinnati,26,"$2,850 ","$148,200 ",2019,
Alejandro Fuenmayor,ve,VEN,Houston Dynamo,22,"$2,789 ","$145,008 ",2019,
Miles Robinson,us,USA,Atlanta United,21,"$2,788 ","$145,000 ",2019,
Abu Danladi,gh,GHA,Minnesota United,23,"$2,788 ","$145,000 ",2019,
Jackson Yueill,us,USA,San Jose Earthquakes,21,"$2,788 ","$145,000 ",2019,
Joe Bendik,us,USA,Philadelphia Union,29,"$2,769 ","$144,000 ",2019,
Scott Caldwell,us,USA,New England Revolution,27,"$2,737 ","$142,313 ",2019,
Jose Rafael Hernandez,,,Atlanta United,25,"$2,692 ","$140,004 ",2019,
Junior Moreno,ve,VEN,DC United,25,"$2,692 ","$140,000 ",2019,
João Moutinho,pt,POR,Orlando City SC,21,"$2,692 ","$140,000 ",2019,
Steve Clark,us,USA,Portland Timbers,32,"$2,692 ","$140,000 ",2019,
Micheal Azira,ug,UGA,Chicago Fire,31,"$2,692 ","$140,000 ",2019,
Nick Hagglund,us,USA,FC Cincinnati,26,"$2,644 ","$137,504 ",2019,
Francis Atuahene,gh,GHA,FC Dallas,22,"$2,596 ","$135,000 ",2019,
Lalas Abubakar,gh,GHA,Colorado Rapids,24,"$2,596 ","$135,000 ",2019,
Alex DeJohn,us,USA,Orlando City SC,27,"$2,596 ","$135,000 ",2019,
Seth Sinovic,us,USA,Sporting Kansas City,32,"$2,596 ","$135,000 ",2019,
Mason Toye,us,USA,Minnesota United,20,"$2,596 ","$135,000 ",2019,
J.T. Marcinkowski,us,USA,San Jose Earthquakes,25,"$2,596 ","$135,000 ",2019,
Fabian Herbers,de,GER,Chicago Fire,25,"$2,596 ","$135,000 ",2019,
Samuel Piette,ca,CAN,Montreal Impact,24,"$2,596 ","$135,000 ",2019,
Ashtone Morgan,ca,CAN,Toronto FC,27,"$2,538 ","$132,000 ",2019,
Ryan Meara,us,USA,New York Red Bulls,28,"$2,538 ","$132,000 ",2019,
Donny Toia,us,USA,Real Salt Lake,26,"$2,524 ","$131,254 ",2019,
Dániel Sallói,hu,HUN,Sporting Kansas City,22,"$2,500 ","$130,000 ",2019,
Clint Irwin,us,USA,Colorado Rapids,29,"$2,423 ","$126,000 ",2019,
Connor Lade,us,USA,New York Red Bulls,29,"$2,423 ","$126,000 ",2019,
Jimmy Maurer,us,USA,FC Dallas,30,"$2,404 ","$125,000 ",2019,
Shane O'Neill,us,USA,Orlando City SC,25,"$2,404 ","$125,000 ",2019,
Jordan Hamilton,ca,CAN,Columbus Crew,22,"$2,404 ","$124,992 ",2019,
Alex Muyl,us,USA,New York Red Bulls,23,"$2,380 ","$123,750 ",2019,
Jay Chapman,ca,CAN,Toronto FC,25,"$2,308 ","$120,000 ",2019,
Dillon Serna,us,USA,Colorado Rapids,24,"$2,308 ","$120,000 ",2019,
Fabinho Alves,,,Philadelphia Union,37,"$2,308 ","$120,000 ",2019,
Alejandro Guido,us,USA,LAFC,24,"$2,308 ","$120,000 ",2019,
Jake Nerwinski,,,Vancouver Whitecaps,27,"$2,308 ","$120,000 ",2019,
Eric Calvillo,sv,SLV,San Jose Earthquakes,21,"$2,308 ","$120,000 ",2019,
Eryk Williamson,us,USA,Portland Timbers,21,"$2,308 ","$120,000 ",2019,
Brent Kallman,us,USA,Minnesota United,28,"$2,269 ","$118,000 ",2019,
Julian Gressel,us,USA,Atlanta United,25,"$2,197 ","$114,250 ",2019,
Sebastián Saucedo,us,USA,Real Salt Lake,22,"$2,163 ","$112,500 ",2019,
Brad Knighton,us,USA,New England Revolution,33,"$2,139 ","$111,253 ",2019,
Djordje Mihailovic,us,USA,Chicago Fire,20,"$2,135 ","$111,000 ",2019,
Thomas Roberts,us,USA,FC Dallas,17,"$2,115 ","$110,000 ",2019,
Danilo Acosta,hn,HON,Orlando City SC,21,"$2,115 ","$110,000 ",2019,
Frankie Amaya,us,USA,FC Cincinnati,18,"$2,115 ","$110,000 ",2019,
Eric Miller,us,USA,New York City FC,26,"$2,088 ","$108,550 ",2019,
Michael Amir Murillo,pa,PAN,New York Red Bulls,22,"$2,019 ","$105,004 ",2019,
James Sands,us,USA,New York City FC,18,"$2,019 ","$105,000 ",2019,
Pablo Sisniega,mx,MEX,LAFC,23,"$2,019 ","$105,000 ",2019,
Collin Martin,us,USA,Minnesota United,24,"$2,019 ","$105,000 ",2019,
PC,br,BRA,Vancouver Whitecaps,24,"$2,019 ","$105,000 ",2019,
Alex Crognale,us,USA,Columbus Crew,24,"$2,010 ","$104,504 ",2019,
David Romney,us,USA,LA Galaxy,25,"$1,962 ","$102,000 ",2019,
Jalil Anibaba,us,USA,New England Revolution,30,"$1,947 ","$101,250 ",2019,
Alec Kann,us,USA,Atlanta United,28,"$1,923 ","$100,008 ",2019,
Bill Tuiloma,nz,NZL,Portland Timbers,23,"$1,923 ","$100,008 ",2019,
Quentin Westberg,us,USA,Toronto FC,32,"$1,923 ","$100,000 ",2019,
Paxton Pomykal,us,USA,FC Dallas,19,"$1,923 ","$100,000 ",2019,
Mo Adams,eng,ENG,Atlanta United,22,"$1,923 ","$100,000 ",2019,
Jonathan Lewis,us,USA,Colorado Rapids,21,"$1,923 ","$100,000 ",2019,
Gordon Wild,de,GER,DC United,23,"$1,923 ","$100,000 ",2019,
Eduardo Sosa,ve,VEN,Columbus Crew,21,"$1,923 ","$100,000 ",2019,
Brad Stuver,us,USA,New York City FC,27,"$1,923 ","$100,000 ",2019,
Lass Bangoura,gn,GUI,Vancouver Whitecaps,26,"$1,923 ","$100,000 ",2019,
Derek Cornelius,ca,CAN,Vancouver Whitecaps,21,"$1,923 ","$100,000 ",2019,
Tomas Hilliard-Arce,us,USA,LA Galaxy,23,"$1,923 ","$100,000 ",2019,
Andrew Gutman,us,USA,FC Cincinnati,22,"$1,923 ","$100,000 ",2019,
Shamit Shome,ca,CAN,Montreal Impact,21,"$1,923 ","$100,000 ",2019,
Daniel Lovitz,us,USA,Montreal Impact,27,"$1,874 ","$97,453 ",2019,
Chris Mueller,us,USA,Orlando City SC,22,"$1,839 ","$95,625 ",2019,
